Episode,DDQN Reward,SARSA Reward,A2C Reward
0,195.77399558669504,225.69656252653147,216.0792923265107
1,215.00748230787735,206.6068727302071,198.46705506127483
2,208.82082495978963,210.16812177626508,215.56763385580336
3,204.62541489466736,211.41718620273204,196.99401354569264
4,218.0912803986174,194.8918375046482,214.21321335012578
5,225.8089157235465,202.54190564402438,208.2509750785938
6,208.34020411749952,216.42055943615898,213.0908392444704
7,204.0572668600366,200.11974502216583,213.0335981175627
8,211.05592701929004,211.2214624162094,208.65543736597604
9,210.73484991903658,215.93839505597714,201.58632920965593
10,217.11229513088236,203.1390915695979,205.15988046749993
11,217.24579051010735,222.55528302630404,200.89517378993887
12,216.78096428845285,219.9083536123649,202.46441943953607
13,199.74252254577164,202.46699804965482,191.59006230141375
14,201.61029964764597,215.97492150841,207.2916939447293
15,215.60251849328046,200.9247207290959,215.63197754297494
16,211.34573999161188,217.27470513645045,210.18474270006664
17,208.8629161689095,214.49742514802082,224.40731224849588
18,201.11310974679748,210.69017842697576,218.6886835817637
19,206.15472561672178,199.69556309312136,208.23164289533747
20,198.21702804066095,208.4602546084295,205.96439486382044
21,206.50030645627865,200.45830525523397,223.5047325957308
22,207.22477544864603,215.93122625926304,200.37117434961036
23,204.42762250468445,222.59497355752717,210.7372979479182
24,211.1386770912947,207.2897597162554,202.94782109864192
25,202.10953192652764,212.81453556198264,208.2358581072821
26,203.3651153869858,213.76384134402517,200.8249074798364
27,203.34566371957968,202.4548575416666,210.94334666680078
28,203.92873964569458,198.18831416967197,213.3644476681666
29,207.82907962730522,209.32302018009037,202.69296892073203
30,208.7275551715512,203.7442418050913,201.87298036534995
31,197.32510555798174,215.85382910642736,213.6766817630225
32,200.50796691299445,205.18376253635248,202.5556639872562
33,196.59055342680023,209.29043715592027,194.7508074610441
34,215.81041462495912,197.29371161638747,201.23260708157247
35,200.7435239370671,210.75386342423818,190.47281756479305
36,198.96098288708464,209.84522090453697,213.03237562456118
37,206.21772755422558,203.49858759157266,205.37272498132538
38,213.50376724125584,208.7463423470206,205.00153761805848
39,210.836833342117,221.79906437290464,197.04337394284192
40,209.35619933274347,199.41660420316072,205.32625997102667
41,210.63245452935763,209.64833192935194,200.24457986091113
42,198.13876625654734,197.1555163650892,202.87373591729852
43,211.5569798252236,212.113160761857,207.90120218680855
44,211.32476460350173,191.71823494153244,213.90615292944776
45,208.04386343971234,225.4009435185655,220.8414004188541
46,215.18973696670628,210.7905556959231,208.0882151448223
47,205.12097919801295,203.5059922515728,212.74679115626424
48,213.90397206609057,202.86364580491937,188.9622529114848
49,214.9947277315834,202.8113606226008,215.99137412294877
