Episode,DDQN Reward,SARSA Reward,A2C Reward
0,3.0,3.0,4.5
1,4.5,4.5,5.0
2,4.5,3.0,5.0
3,2.0,3.5,3.0
4,3.0,3.5,4.0
5,4.5,3.0,4.5
6,4.0,3.5,2.0
7,6.0,4.0,5.0
8,2.5,3.5,4.5
9,5.0,4.0,4.0
10,4.0,5.5,4.5
11,2.5,5.0,4.5
12,2.5,5.0,3.5
13,2.0,2.5,5.5
14,4.0,2.5,3.5
15,3.5,3.0,2.5
16,4.5,5.0,5.0
17,3.0,5.5,3.0
18,3.0,3.5,4.0
19,5.0,5.5,5.0
20,5.5,4.0,4.5
21,3.0,3.5,4.5
22,3.5,3.0,4.5
23,3.0,4.5,3.0
24,2.0,2.5,3.5
25,4.0,2.5,2.5
26,4.0,3.0,4.0
27,6.0,4.0,6.0
28,4.5,5.0,4.5
29,4.0,5.5,4.0
30,5.5,5.0,5.0
31,6.0,3.5,4.5
32,5.0,3.0,3.5
33,5.0,3.5,3.0
34,3.5,2.5,6.0
35,3.0,3.0,4.0
36,6.0,4.0,3.0
37,5.0,4.5,5.0
38,3.5,3.0,4.0
39,4.0,5.5,4.0
40,3.5,5.0,4.5
41,3.5,5.5,4.5
42,5.0,5.5,4.0
43,6.0,4.5,3.5
44,5.5,4.5,3.5
45,3.0,3.5,2.5
46,1.5,5.5,4.0
47,5.0,3.0,3.0
48,4.0,4.0,3.0
49,4.5,3.5,3.5
