Episode,DDQN Reward,SARSA Reward,A2C Reward
0,347.58691100940393,123.29141104547386,348.2226803407206
1,119.50811577664034,228.62445040450345,241.05733761123707
2,228.58827957744026,225.46961192803343,215.22778724558773
3,225.65602043455945,225.28866918154907,347.3381575024842
4,115.96142113452133,236.61448060928853,242.33489742962078
5,228.173459319904,348.87403410429715,228.20384351845982
6,235.23474110920424,106.158158193514,127.74704968010658
7,240.31107014720985,242.03116300826926,231.634952337916
8,346.66148449579816,236.60590314574054,109.21822777543852
9,109.91796489212024,229.96612678254763,234.32628580259868
10,111.20905053369181,346.3110835168636,113.51789109040966
11,242.57976822285477,235.39392341339186,231.93273650505137
12,122.06185518818887,228.2889766621608,229.91392493686755
13,230.3449452585209,235.0788126814813,225.74959317880177
14,-0.3274986686863226,225.74556614293095,231.86152744477636
15,238.5594825447478,117.96646159406048,237.079532031613
16,346.71359722064216,116.11308480831718,230.78692558546155
17,345.74823937585757,114.51560545578255,236.69377170069757
18,233.31658468206228,345.10918338369925,107.24883960834585
19,346.03214996894786,219.135518787021,233.09054242422786
20,347.12960008770983,231.83355042545423,119.93799511338236
21,231.10780787424133,112.48446679633297,345.4814575624973
22,117.84695037618837,223.0697250029833,230.5494541315993
23,119.0519134734809,113.50549919399582,237.26395108006759
24,235.4223762333425,121.81931887820694,346.7954872060842
25,228.54536534986758,248.1774999567592,348.01806374092376
26,120.60685360755518,224.16145410976574,111.29500626947429
27,227.85650657583838,118.06338386143106,222.94105905434955
28,240.10382611228374,235.9638631158732,125.89855921919742
29,232.609406298025,223.90193782949424,-0.6879092208382294
30,115.22594688820881,240.37746304909896,112.52966833422633
31,219.51465489560806,1.0044938994460644,221.27080799703603
32,239.47958179182652,235.8682368719143,0.8302766511913002
33,237.65898800416275,238.34095090669018,233.278940965898
34,240.93264255993657,230.66421932916938,347.7375236879233
35,231.50935377628392,112.6732218564321,119.63041321380368
36,226.87209833254755,231.73293930264657,232.93006138029136
37,112.79103499812868,227.55393271652147,230.1029492071537
38,124.4515403139335,235.59327988174584,0.4185021926282677
39,111.2661630404782,244.3635979454955,113.7119200971083
40,347.91016936039244,225.0868803613588,233.24572523719854
41,217.58009675841473,229.0444428981606,101.65494422749187
42,119.80923706290338,231.1082631718447,125.33918309117664
43,109.67801376049474,229.95175734303498,232.84011231752106
44,108.70637018290476,233.72981047313226,118.18283026350505
45,126.92882568135019,230.00616748594342,348.09051795169
46,227.55909510438042,348.3475513442003,125.63322078148195
47,347.4634683885849,231.58069342918887,346.4197371561564
48,241.06131135621266,102.84277791708334,103.7813074135511
49,120.56695277045448,218.5496498765995,243.52963717630672
